,0,buy Signal
2021-05-17,128212484,Buy
2021-05-17,128215044,Buy
2021-05-17,128217604,Buy
2021-05-17,129282564,Buy
2021-05-17,129462788,Buy
2021-05-17,129637124,Buy
2021-05-17,130017284,Buy
2021-05-17,130366212,Buy
2021-05-17,130426884,Buy
2021-05-17,130527748,Buy
2021-05-17,131417348,Buy
2021-05-17,132491268,Buy
2021-05-17,133134596,Buy
2021-05-17,4524801,Buy
2021-05-17,133439492,Buy
2021-05-17,133648388,Buy
2021-05-17,133920516,Buy
2021-05-17,138375684,Buy
2021-05-17,138412292,Buy
2021-05-17,138431748,Buy
2021-05-17,138465028,Buy
2021-05-17,138532612,Buy
2021-05-17,138537732,Buy
2021-05-17,138643972,Buy
2021-05-17,138869764,Buy
2021-05-17,128568068,Buy
2021-05-17,136226308,Buy
2021-05-17,136245508,Buy
2021-05-17,136291844,Buy
2021-05-17,136300548,Buy
2021-05-17,2674433,Buy
2021-05-17,136318212,Buy
2021-05-17,136366852,Buy
2021-05-17,136385796,Buy
2021-05-17,136420100,Buy
2021-05-17,136429828,Buy
2021-05-17,136439300,Buy
2021-05-17,136485380,Buy
2021-05-17,136486660,Buy
2021-05-17,136515332,Buy
2021-05-17,136517636,Buy
2021-05-17,136526340,Buy
2021-05-17,136531460,Buy
2021-05-17,136549892,Buy
2021-05-17,136589316,Buy
2021-05-17,136727300,Buy
2021-05-17,139071492,Buy
2021-05-17,137161988,Buy
2021-05-17,137998340,Buy
2021-05-17,138061060,Buy
2021-05-17,138125060,Buy
2021-05-17,138258692,Buy
2021-05-17,138269444,Buy
2021-05-17,138279172,Buy
2021-05-17,138284292,Buy
2021-05-24,128011012,Buy
2021-05-24,128022020,Buy
2021-05-24,128029188,Buy
2021-05-24,128043012,Buy
2021-05-24,128064004,Buy
2021-05-24,128068100,Buy
2021-05-24,128072964,Buy
2021-05-24,128133124,Buy
2021-05-24,128135684,Buy
2021-05-24,128181764,Buy
2021-05-24,128215044,Buy
2021-05-24,128224516,Buy
2021-05-24,128793604,Buy
2021-05-24,129331204,Buy
2021-05-24,129370884,Buy
2021-05-24,129416452,Buy
2021-05-24,129417476,Buy
2021-05-24,129462788,Buy
2021-05-24,130000644,Buy
2021-05-24,130017284,Buy
2021-05-24,130366212,Buy
2021-05-24,133940996,Buy
2021-05-24,133991684,Buy
2021-05-24,134862596,Buy
2021-05-24,138465028,Buy
2021-05-24,138537732,Buy
2021-05-24,138682628,Buy
2021-05-24,135874308,Buy
2021-05-24,136004100,Buy
2021-05-24,138854148,Buy
2021-05-24,136271108,Buy
2021-05-24,136374788,Buy
2021-05-24,136387076,Buy
2021-05-24,136409092,Buy
2021-05-24,136414212,Buy
2021-05-24,136429828,Buy
2021-05-24,136439300,Buy
2021-05-24,136515332,Buy
2021-05-24,136517636,Buy
2021-05-24,136526340,Buy
2021-05-24,139071492,Buy
2021-05-24,136911108,Buy
2021-05-24,137161988,Buy
2021-05-24,137796612,Buy
2021-05-24,137998340,Buy
2021-05-24,138061060,Buy
2021-05-24,138208260,Buy
2021-05-24,138258692,Buy
2021-05-24,138279172,Buy
2021-05-31,128022020,Buy
2021-05-31,128042244,Buy
